gene	color	max_enrichment_bins
PPP3CA	#d8e7f5	2.2545875602481367
PPP3R2	#f2f7fd	1.2431128486929341
PPP5C	#ccdff1	2.7517363059485715
PPP6R2	#e8f1fa	1.6166729057051399
PQLC1	#d9e8f5	2.202838457446228
PQLC2L	#f1f7fd	1.2785476972510945
PRADC1	#edf4fc	1.4218393837339047
PRAME	#f6faff	1.0602457159242773
PRAMEF1	#eef5fc	1.3817336954716761
PRAMEF12	#e6f0f9	1.7030945621990663
PRAMEF2	#eaf2fb	1.5537223147695545
PRAMEF20	#d9e7f5	2.2207027970876068
PRAMEF5	#dae8f6	2.159507107253616
PRAMEF7	#c3daee	3.076352163690927
PRB2	#bcd7eb	3.272725678227599
PRB3	#d5e5f4	2.377550764111664
PRB4	#e6f0f9	1.7017330195762357
PRCP	#e9f2fa	1.5880825960534906
PRDM13	#d8e7f5	2.2577222335755094
PRDM14	#f5fafe	1.0886476613717564
PRDM5	#e4eff9	1.7633732997344624
PRDX6	#cee0f2	2.6803484285240886
PREP	#e9f2fa	1.5898549643415578
PREPL	#dceaf6	2.068598237177669
PRG3	#e7f0fa	1.6705700929326324
PRICKLE2	#f6faff	1.0614819218115927
PRIM2	#cddff1	2.7425493182405187
PRKAB2	#add0e6	3.6265687281789725
PRKACA	#f5f9fe	1.1209893529195862
PRKAG2	#e9f2fa	1.5682334444523212
PRKAR1A	#e7f0fa	1.683794499843123
PRKAR2B	#e6f0f9	1.696474380452816
PRKCA	#e9f2fa	1.5733902780759854
PRKCQ	#f4f9fe	1.1549889927377117
PRKCSH	#e6f0f9	1.716682879201687
PRKD1	#eaf3fb	1.5030628943377886
PRKRA	#eaf2fb	1.5573972521993205
PRL	#ecf4fb	1.444413394868426
PRND	#d6e6f4	2.332073817559223
PROCR	#ecf4fb	1.4540776333383678
PRODH	#e4eff9	1.7705812202588822
PRODH2	#d9e7f5	2.2322905216772004
PROK2	#dfecf7	1.965869666412189
PROM2	#f5f9fe	1.114834634163942
PROP1	#f5fafe	1.0757837893198583
PROS1	#d0e1f2	2.6041918509743347
PROSER2	#d4e4f4	2.4217377343163116
PROX2	#d8e7f5	2.256462365986314
PRPF38B	#e0ecf8	1.9110171219057546
PRPF39	#f1f7fd	1.2554694602029988
PRPS2	#e7f1fa	1.6444668458493497
PRR12	#ebf3fb	1.4969300381957376
PRR15	#ebf3fb	1.4715507070485556
PRR19	#e9f2fa	1.5691465917763914
PRR20A	#eef5fc	1.3694961817878983
PRR23A	#e6f0f9	1.6955331450830404
PRR23D1	#f5f9fe	1.1117047676718799
PRR3	#d9e8f5	2.1928347743562364
PRR5	#dae8f6	2.184854691770916
PRRC2B	#eaf2fb	1.5318068386270973
PRRC2C	#caddf0	2.872136890871037
PRRG2	#eaf2fb	1.5595121542040244
PRRX2	#eff6fc	1.3239403909970715
PRSS2	#d2e3f3	2.5196157392950496
PRSS21	#c6dbef	3.021770055613574
PRSS3	#eff6fc	1.3333220981491039
PRSS33	#dae8f6	2.1650475213507767
PRSS42	#e9f2fa	1.5679005414597083
PRSS48	#d7e6f5	2.3111754040767254
PRSS53	#deebf7	2.0094140891695074
PRSS56	#d6e6f4	2.33176255945361
PRSS57	#f3f8fe	1.1732971568550188
PRSS8	#e4eff9	1.7528893234039424
PRTFDC1	#eaf3fb	1.5133007014483717
PRTG	#c3daee	3.0635945095159447
PRUNE	#f7fbff	1.0242457800653504
PRUNE2	#d2e3f3	2.5102584207853007
PSAP	#eef5fc	1.3830708185534644
PSAPL1	#cee0f2	2.6712506873178232
PSD	#edf4fc	1.430412161633353
PSD2	#d0e1f2	2.599620342470442
PSD3	#e3eef8	1.8254421818171618
PSENEN	#e4eff9	1.778949483913238
PSG8	#c4daee	3.0576245082917928
PSG9	#b9d6ea	3.328826436831331
PSIP1	#eaf2fb	1.5478247230320334
PSMB11	#f6faff	1.0410622255218434
PSMD11	#e3eef8	1.8284043268386883
PSMD2	#e4eff9	1.7735231701509804
PSMD6	#eaf3fb	1.5122286128976092
PSMF1	#eef5fc	1.375954466577224
PSMG4	#e2edf8	1.8489209044097459
